,player,DRAPM,ORAPM,Total_RAPM
278,Alexis Parker,0.5937,-1.4609,-0.8672
279,Alexis Pettis,5.2224,4.0888,9.3111
280,Alexis Reese,-2.116,-0.6262,-2.7422
281,Alexis Roberts,-0.7057,0.9368,0.2311
282,Alexis Rosenfeld,0.754,0.3752,1.1292
283,Alexis Stewart,-0.8378,-0.1142,-0.9521
284,Alexis Tucker,0.0775,-0.7625,-0.685
285,Alexis Warren,-0.7061,-0.3891,-1.0952
286,Alexis Whitfield,1.8489,2.4356,4.2845
287,Alexis Woods,0.4775,0.2805,0.758
288,Alexius Horne,1.4325,2.6154,4.0478
289,Alexsandra Alvarado,2.1281,2.8944,5.0224
290,Alexsia Rose,-0.723,4.1754,3.4525
291,Alexsyah Goudeau,1.1943,-0.4883,0.7061
292,Alexus Mobley,-0.2216,0.3171,0.0955
293,Alexus Seaton,0.3991,-1.3657,-0.9666
294,Alexzeya Brooks,-0.7762,0.1998,-0.5765
295,Ali Bamberger,-2.4133,3.5555,1.1422
296,Ali Berg,0.4088,2.4192,2.828
297,Ali Brigham,-1.569,2.7927,1.2237
298,Ali Hardwell,-0.3095,-1.1848,-1.4943
299,Ali Saunders,-0.7294,2.8981,2.1686
300,Ali Stephens,-0.0353,-1.1244,-1.1597
301,Ali Wetta,-0.4033,1.2099,0.8066
302,Ali Zelaya,0.7603,4.2504,5.0107
303,Ali'a Matavao,0.2545,1.4821,1.7366
304,Alia Cordone,1.4286,-1.3657,0.0629
305,Aliah McWhorter,-2.4328,-2.1589,-4.5917
306,Alice Curman,-1.9214,-2.8081,-4.7295
307,Alice Dart,-0.1856,-0.8873,-1.0728
308,Alice Recanati,-0.6275,2.5281,1.9006
309,Alicia Blanton,0.7078,-1.1277,-0.4199
310,Alicia Newell,1.6483,-0.9801,0.6682
311,Alicia Spann,0.9183,2.7314,3.6497
312,Alicia Tournebize,0.1181,0.7174,0.8355
313,Alie Bisballe,-0.6194,0.954,0.3346
314,Alieghya Bartholomew,-3.5855,-0.8352,-4.4207
315,Alina Anderson,-0.4294,0.0348,-0.3947
316,Alina Sendar,-1.3372,-2.5862,-3.9233
317,Alisa Blalock,-2.42,-0.4248,-2.8447
318,Alisa Knight,0.7729,-1.0232,-0.2502
319,Alisa Williams,2.8322,6.6294,9.4615
320,Alisha Murray,2.3704,-0.5307,1.8397
321,Alisha Peavy,-1.0403,-1.2671,-2.3073
322,Alisha Wilson,6.7819,1.8726,8.6545
323,Alissa Dins,3.7169,0.9713,4.6882
324,Alissa Pili,2.1781,9.1702,11.3484
325,Alivia Cox,0.3126,-0.9565,-0.6439
326,Alivia Landy,2.3387,0.4846,2.8234
327,Alivia Stephens-Kirkman,-0.2366,-0.4097,-0.6463
328,Aliya McIver,-0.8059,-2.4503,-3.2563
329,Aliyah Collins,-3.1966,0.5293,-2.6673
330,Aliyah Green,2.0898,0.7864,2.8761
331,Aliyah Matharu,3.3433,7.6814,11.0247
332,Aliyahna Morris,2.7501,0.0685,2.8186
333,Alize Tripp,-1.687,0.087,-1.6
334,Allasia Washington,3.0147,5.697,8.7117
335,Alli Campbell,2.0355,5.2527,7.2882
336,Alli Carlson,0.0247,-1.2427,-1.218
337,Alli Dioli,-1.5805,-0.3613,-1.9418
338,Alli Harness,-2.5102,-2.8746,-5.3847
339,Alliance Ndiba,4.0997,5.0417,9.1414
340,Allie Craig Cruce,-1.8533,1.4224,-0.4309
341,Allie Cummins,-4.2989,0.4042,-3.8946
342,Allie Hueckman,0.7486,-1.1497,-0.4012
343,Allie Kubek,1.27,2.3734,3.6433
344,Allie McGinn,-2.3055,-1.8247,-4.1302
345,Allie Meadows,0.9704,2.6072,3.5776
346,Allie Palmieri,1.4113,0.8976,2.3089
347,Allie Sykes,-3.2023,-0.574,-3.7762
348,Allie Turner,2.1691,6.7313,8.9004
349,Allie Tylka,-3.353,-2.0644,-5.4174
350,Allie Ziebell,2.4991,5.9006,8.3997
351,Allison Basye,-0.1028,0.2493,0.1465
352,Allison Cannon,0.9238,-0.3094,0.6144
353,Allison Clarke,-1.1409,1.7666,0.6257
354,Allison Heathcock,1.127,0.3014,1.4284
355,Allison LaPoint,-0.0589,0.8836,0.8247
356,Allison Rickman,-0.3676,-1.2004,-1.568
357,Allison Schwertner,-1.3892,0.3371,-1.0522
358,Allison Weidner,4.3207,0.1722,4.4929
359,Ally Becki,5.5751,8.3975,13.9726
360,Ally Carman,0.0731,-3.4333,-3.3602
361,Ally Criddle,2.0087,-0.0692,1.9395
362,Ally Fitzgerald,1.4497,-1.7173,-0.2677
363,Ally Hollifield,1.9557,0.0657,2.0214
364,Ally Knights,4.0009,-0.6367,3.3642
365,Ally Lovisolo,0.902,-3.4393,-2.5373
366,Ally Schimel,0.3372,4.4394,4.7766
367,Ally Sentance,0.88,-1.2498,-0.3698
368,Ally Stedman,-0.4609,2.6694,2.2085
369,Ally Sweeney,3.4013,5.1255,8.5267
370,Ally Timm,-0.208,1.7118,1.5038
371,Ally VanTimmeren,0.8535,-0.3761,0.4774
372,Allysan Tse,1.2889,-2.5905,-1.3015
373,Allyson Fertig,3.0036,6.8066,9.8102
374,Allyson Ross,2.1509,-1.6949,0.456
375,Allyzee Verdan,-1.088,-2.4119,-3.4999
376,Alma Elsnitz,0.5233,-0.6608,-0.1375
377,Alma Rashelbach,-0.1411,0.4622,0.321
378,Alondra Lizama,-5.11,0.4525,-4.6575
379,Alonna Poole,-0.5833,-0.0615,-0.6448
380,Alonna Sellers,2.4623,-1.3364,1.1259
381,Alonya Waldon,2.2269,3.0929,5.3198
382,Althea Kara Angeles,3.8646,2.7339,6.5985
383,Alva Hedrich,2.0619,-0.1047,1.9572
384,Alva Mofalk,-1.9323,0.0624,-1.8698
385,Aly Avrach,-0.0982,0.8989,0.8008
386,Aly Wadkovsky,-1.5669,-1.8817,-3.4487
387,Alyse Aby,-1.8567,-2.987,-4.8437
388,Alyse Holliman,-2.8296,1.513,-1.3166
389,Alyson Deaver,0.0318,-0.6718,-0.64
390,Alyssa Andrews,3.6462,2.7963,6.4425
391,Alyssa Berry,-0.8796,1.3248,0.4452
392,Alyssa Blanck,1.1949,-0.9141,0.2808
393,Alyssa Brown,2.9801,0.7826,3.7627
394,Alyssa Chapman,-0.1681,-1.0939,-1.2619
395,Alyssa Christensen,-0.29,2.7328,2.4428
396,Alyssa Clutter,1.3756,1.2709,2.6465
397,Alyssa Costigan,1.3391,-1.1261,0.213
398,Alyssa Crockett,-0.8404,3.2816,2.4413
399,Alyssa Durazo-Frescas,2.5221,8.4183,10.9403
400,Alyssa Ervin,1.9691,1.9916,3.9607
401,Alyssa Febres,0.2442,-0.6292,-0.3849
402,Alyssa Fisher,0.5993,4.7339,5.3332
403,Alyssa Green,0.5653,-0.702,-0.1367
404,Alyssa Green-White,-0.8285,-0.6055,-1.434
405,Alyssa Hargrove,3.0492,1.9948,5.044
406,Alyssa Jackson,0.4579,-1.7772,-1.3194
