,player,DRAPM,ORAPM,Total_RAPM
173,Aisse Coulibaly,-2.2336,-0.9329,-3.1665
174,Aixa Wone Aranaz,1.0784,0.2467,1.3251
175,Aixchel Hernandez,-0.3788,0.2414,-0.1373
176,Aiyana Mitchell,0.6834,5.0939,5.7772
177,Aiyanna Culver,-2.814,-0.1063,-2.9203
178,Aizhanique Mayo,-0.9191,3.3948,2.4756
179,Aja Austin,-0.2689,-0.5347,-0.8037
180,Ajae Petty,1.1495,4.1664,5.3159
181,Ajae Yoakum,-0.7263,0.2705,-0.4558
182,Ajia James,-0.7173,2.3666,1.6493
183,Ajok Madol,0.3139,1.6494,1.9633
184,Ajulu Thatha,2.572,5.3858,7.9578
185,Akasha Davis,1.4373,7.0461,8.4834
186,Akeelah Lafleur,1.3048,0.5045,1.8093
187,Akyriale Ford,-0.2761,-2.0923,-2.3684
188,Alahna Paige,0.866,2.0268,2.8928
189,Alaina Harper,-0.8078,0.1562,-0.6516
190,Alaina Nettles,-3.3323,2.3134,-1.0189
191,Alaina Payne,0.1664,-0.3239,-0.1575
192,Alaina Rice,0.1223,2.8362,2.9585
193,Alaina Williams,2.6835,-2.6624,0.0211
194,Alaisha Brown,-1.2797,-1.0552,-2.3349
195,Alana Andrews,0.0974,0.215,0.3124
196,Alana Goodchild,-3.5301,1.8784,-1.6517
197,Alana Goosby,-1.8011,-0.1998,-2.0008
198,Alana Powell,0.0896,-0.918,-0.8284
199,Alana Reddy,-4.4582,1.2083,-3.2499
200,Alana Rouser,-0.5451,0.2015,-0.3436
201,Alana Shields,-2.7584,-3.5288,-6.2872
202,Alana Striverson,-4.1338,0.0283,-4.1054
203,Alana Swift,-0.02,-0.0823,-0.1023
204,Alanah Pooler,1.8524,2.5598,4.4122
205,Alancia Ramsey,-1.2593,5.7276,4.4683
206,Alani Encinas,-0.4089,-0.0702,-0.4791
207,Alani Fluker,-2.15,-0.6916,-2.8416
208,Alanna Neale,0.1355,0.7404,0.8758
209,Alanna Phillipo,-0.9942,0.0948,-0.8995
210,Alannah Chatfield,-0.7772,0.4983,-0.279
211,Alarice Gooden,-0.7272,2.3006,1.5734
212,Alary Bell,0.3068,1.3716,1.6784
213,Alasia Hayes,0.1842,2.9155,3.0997
214,Alasia Smith,1.5661,5.2486,6.8147
215,Alaya Fitzgerald,-4.2972,0.7149,-3.5823
216,Alayna Contreras,-3.398,1.5227,-1.8752
217,Alayna Kraus,-3.029,0.1831,-2.8459
218,Alayna Rocco,0.7875,0.4966,1.2842
219,Alayna West,-2.8907,0.366,-2.5248
220,Alba Garcia,-3.8495,1.7653,-2.0841
221,Alba Martin Mesa,-0.5699,-0.4241,-0.994
222,Alberte Rimdal,-1.9791,6.552,4.5729
223,Albina Syla,-0.6686,0.3076,-0.361
224,Alden Yergey,-0.1091,0.435,0.326
225,Ale Civera,-3.4763,-0.4619,-3.9382
226,Ale'Jah Douglas,-1.5948,1.3679,-0.2269
227,Aleah James,-1.3157,-0.1284,-1.4441
228,Aleah Nelson,-0.0883,3.8959,3.8076
229,Aleah Snead,-3.1163,1.7932,-1.3231
230,Aleah Sorrentino,-1.8049,1.495,-0.3099
231,Alecia Doyle,-4.0903,1.7876,-2.3028
232,Alecia Westbrook,2.8084,2.4514,5.2598
233,Aleighyah Fontenot,0.3927,1.5646,1.9573
234,Alejandra Ferreiros,-0.2214,0.2747,0.0534
235,Alejandra Mastral,-0.2411,-1.0655,-1.3066
236,Alejandra Zuniga,-2.2544,6.0157,3.7613
237,Alena Fusetti,-1.4162,0.8829,-0.5333
238,Alex Covill,-0.6005,0.6883,0.0878
239,Alex Cowan,2.1955,0.658,2.8535
240,Alex Giannaros,-2.6688,2.7854,0.1166
241,Alex Gitchenko,-0.6535,-2.1012,-2.7547
242,Alex McGarrah,-0.0243,0.7919,0.7676
243,Alex Moses,-0.1884,-1.9081,-2.0965
244,Alex Pirog,-1.8713,0.5134,-1.3578
245,Alex Richard,-0.8332,3.7753,2.9421
246,Alex Rouse,-1.2053,-0.7371,-1.9423
247,Alexa Brodie,0.479,0.4737,0.9527
248,Alexa Hocevar,-1.6373,-0.7113,-2.3486
249,Alexa Kinas,-1.0208,-0.942,-1.9627
250,Alexa Lord,-4.713,-1.2854,-5.9984
251,Alexa Mikeska,1.432,2.1105,3.5424
252,Alexa Washington,-1.6948,1.0952,-0.5996
253,Alexa Zaph,-0.7121,2.2106,1.4985
254,Alexandra Eldredge,-3.7249,1.6883,-2.0366
255,Alexandra Eschmeyer,1.3838,1.537,2.9208
256,Alexandra Wilkinson,0.0051,-0.0089,-0.0038
257,Alexandria Johnson,-3.9035,1.429,-2.4745
258,Alexandria Scruggs,-0.8881,3.0156,2.1274
259,Alexi Hempe,-4.4969,4.9103,0.4133
260,Alexia Araujo-Dagba,-2.3907,1.1108,-1.2799
261,Alexia Dizeko,2.5453,4.7955,7.3408
262,Alexia Gassett,1.6482,0.2278,1.876
263,Alexia Nelson,-0.837,3.5157,2.6788
264,Alexia Smith,3.002,3.979,6.981
265,Alexis Andrews,-1.2992,3.1512,1.852
266,Alexis Black,-3.0349,4.8631,1.8283
267,Alexis Calderon,-0.8082,0.8291,0.021
268,Alexis Callins,-1.2037,1.1261,-0.0776
269,Alexis Cortez,-0.8553,1.5737,0.7184
270,Alexis Cox,0.5739,0.9214,1.4954
271,Alexis Davis,-1.7748,3.8398,2.065
272,Alexis Hess,0.1446,-0.4989,-0.3544
273,Alexis Hutchison,-1.5226,4.3231,2.8005
