,player,DRAPM,ORAPM,Total_RAPM,team
127,Aleksa Vlajic,0.0282,0.054,0.0822,Buffalo
128,Aleksas Bieliauskas,-0.7059,3.0707,2.3648,Wisconsin
129,Aleksej Kostic,-1.4163,0.2974,-1.1189,BYU
130,Alem Fejzic,-1.0395,-2.1886,-3.2281,Southern Ind.
131,Alex Bossinakis,0.4259,0.3141,0.74,UT Arlington
132,Alex Bruskotter,-0.543,1.8281,1.2851,Wright State
133,Alex Chaikin,-1.6285,1.994,0.3655,UC San Diego
134,Alex Condon,3.085,6.0246,9.1097,Florida
135,Alex Crawford,-1.068,-2.3822,-3.4501,Rhode Island
136,Alex Dupre,-0.5155,-1.4093,-1.9248,Portland State
137,Alex Farley,-0.0374,0.0003,-0.037,Ball State
138,Alex Garcia,-0.7112,-0.5816,-1.2928,Tennessee State
139,Alex Hemenway,-2.0273,-0.6687,-2.696,Evansville
140,Alex Huguet Carrasco,-0.631,-0.0022,-0.6332,ULM
141,Alex Huibregtse,-1.024,5.4281,4.4041,Bradley
142,Alex Karaban,1.4005,8.0783,9.4789,UConn
143,Alex Kazanecki,-3.219,1.7292,-1.4898,Delaware
144,Alex Koch,-0.0454,-0.534,-0.5794,Mercer
145,Alex Kovatchev,-0.1235,-0.4288,-0.5523,Florida
146,Alex Lloyd,-0.4817,-1.4642,-1.9458,Florida
147,Alex Massung,-1.027,0.226,-0.8009,Penn
148,Alex McFadden,-0.3788,0.2735,-0.1054,Delaware
149,Alex Molofeev,-2.6175,-3.1545,-5.772,ULM
150,Alex Olander,-0.0582,-0.1872,-0.2453,Elon
151,Alex Steen,-1.0809,4.2744,3.1935,Florida State
152,Alex Tsynkevich,-0.0561,-1.2834,-1.3395,Hofstra
153,Alex Wilkins,-3.0911,3.1674,0.0763,Furman
154,Alex Williams,-2.0739,4.6209,2.547,Duquesne
155,Alex Woodring,-0.2139,-0.0527,-0.2666,Sacred Heart
156,Alexander Daushvili,-0.4316,-0.0177,-0.4493,VMI
157,Alexander Richardson,-1.1548,0.7057,-0.4491,Loyola Chicago
158,Alexis Marmolejos,0.332,0.7184,1.0504,Pacific
159,Ali Assran,-1.644,-1.5496,-3.1936,Cal Poly
160,Ali Dibba,1.4075,2.3957,3.8032,Texas A&M
161,Alier Maluk,0.0427,-0.7819,-0.7392,Florida State
162,Alijah Adem,0.0248,-0.0753,-0.0505,Bowling Green
163,Alijah Arenas,-0.8626,0.6121,-0.2505,Southern California
164,Aliou Cisse,-1.6778,-1.3302,-3.0079,Merrimack
165,All Wright,-2.1992,3.4633,1.2641,Xavier
166,Allen Graves,0.4986,8.4768,8.9754,Santa Clara
167,Allen Mukeba,0.8435,3.1542,3.9977,Arizona State
168,Allen Strothers,0.8994,-0.7245,0.1749,ETSU
169,Alliou Fall,3.1935,-2.6177,0.5757,Iona
170,Almar Atlason,-2.2257,3.1724,0.9467,Miami (OH)
171,Alon Michaeli,-2.1565,1.7678,-0.3887,Colorado
172,Alonzo Dodd,-0.0471,3.3078,3.2607,App State
173,Alton Hamilton,-1.2647,5.9379,4.6731,Eastern Wash.
174,Alvaro Folgueiras,0.4181,5.9583,6.3765,Iowa
175,Alvin Loving,-0.2823,0.0779,-0.2044,Yale
176,Aly Khalifa,3.2408,3.1201,6.3609,Louisville
177,Aly Tounkara,1.2877,-0.841,0.4467,Arkansas State
178,Alyn Breed,0.9926,0.0174,1.01,NC State
179,Ama Sow,-0.2858,-0.1129,-0.3987,UT Martin
180,Amadou Doumbia,0.616,-0.5379,0.0781,N.C. A&T
181,Amael L'Etang,0.9847,3.2445,4.2291,Dayton
182,Amani Hansberry,1.4517,7.5464,8.9981,Virginia Tech
183,Amani Lyles,-0.9534,4.9635,4.0101,Akron
184,Amar Amkou,-1.308,3.7782,2.4703,Fla. Atlantic
185,Amar Augillard,-4.1463,1.327,-2.8193,Milwaukee
186,Amar Kuljuhovic,0.218,0.5939,0.8119,Missouri State
187,Amar'e Marshall,-0.1444,-0.6196,-0.764,St. Bonaventure
188,Amarco Doyle,0.0091,0.5486,0.5577,New Mexico State
189,Amare Allen,-1.9934,-5.0112,-7.0046,Maine
190,Amare Bynum,0.7984,4.5658,5.3642,Ohio State
191,Amaree Abram,2.5444,0.0839,2.6283,Tennessee
192,Amaree Brown,-4.1537,-0.1897,-4.3435,Southern Ind.
193,Amari Allen,0.3989,5.9,6.2989,Alabama
194,Amari Evans,2.917,1.4711,4.3881,Tennessee
195,Amari Jedkins,-1.55,-0.5946,-2.1447,Montana
196,Amari McCottry,1.2352,1.6383,2.8736,Saint Louis
197,Amari Reed,2.7433,0.3361,3.0794,UT Arlington
198,Amarion Dickerson,0.1529,1.3837,1.5365,Southern California
199,Amarion Nimmers,-0.4654,-0.5245,-0.9899,FIU
200,Amarri Monroe,1.5598,2.1589,3.7187,Quinnipiac
201,Amere Brown,-1.1425,-0.6889,-1.8314,Arkansas
202,Amier Ali,-0.0416,0.9119,0.8703,Mississippi State
203,Amir Arrington,-0.2014,-0.3415,-0.5428,George Washington
204,Amir Jenkins,-1.0264,-0.4206,-1.447,West Virginia
205,Amir Lindsey,-3.8445,3.2548,-0.5897,UAlbany
206,Amir Taylor,2.2607,3.2701,5.5309,Kennesaw St.
207,Amir Williams,0.6566,-0.3741,0.2825,Hofstra
208,Amire Robinson,0.4274,-0.2783,0.149,Nevada
209,Anastasios Rozakeas,-2.5641,-1.1183,-3.6824,Mount St. Mary's
210,Andre Henry,-0.9728,1.7181,0.7453,UC Irvine
211,Andre Mills,-0.5641,5.6184,5.0544,Maryland
212,Andre Washington,-1.8081,0.0777,-1.7304,Eastern Ill.
213,Andrea Holden,1.5886,-0.2737,1.3149,Wright State
214,Andrej Kostic,-3.0125,3.3952,0.3827,Kansas State
215,Andrej Shoshkikj,-0.1087,0.846,0.7373,Stony Brook
216,Andrej Stojakovic,-0.3711,5.5571,5.186,Illinois
217,Andrell Burton,0.6018,-0.3564,0.2455,South Dakota State
218,Andreo Ash,-0.376,-0.7982,-1.1741,Canisius
219,Andres Burney,-2.5104,2.2438,-0.2666,Ga. Southern
220,Andres Marrero,-2.3042,1.8978,-0.4063,Merrimack
221,Andrew Akuchie,-0.3433,-1.4754,-1.8187,Rice
222,Andrew Alia,-0.7673,1.475,0.7077,Drake
223,Andrew Austin,-1.9675,-1.4662,-3.4337,Eastern Ill.
224,Andrew Bailey,-0.1895,-0.2671,-0.4566,Charlotte
225,Andrew Ball,-0.8559,2.6112,1.7554,Monmouth
226,Andrew Crawford,0.1622,-0.0848,0.0774,Colorado
227,Andrew Henderson,-2.3469,3.8808,1.5339,UC Riverside
228,Andrew King,-2.4368,0.5573,-1.8795,Youngstown State
229,Andrew McKeever,1.8033,3.6397,5.443,Saint Mary's (CA)
230,Andrew Meadow,-1.5379,5.1447,3.6068,Boise State
231,Andrew Okafor,-0.3405,-0.1171,-0.4576,Stony Brook
232,Andrew Osasuyi,2.1849,1.4428,3.6277,St. Bonaventure
233,Andrew Rohde,0.6975,2.0441,2.7416,Wisconsin
234,Andrija Bukumirovic,-0.2497,5.5252,5.2755,UT Martin
235,Andrija Grbovic,-0.1255,0.9983,0.8728,Arizona State
236,Andrija Jelavic,0.2318,1.8236,2.0554,Kentucky
237,Andrija Vukovic,0.1121,2.2915,2.4036,Oklahoma State
238,Andrin Njock,-0.7756,0.7766,0.001,App State
239,Andy Johnson,0.1339,2.324,2.4579,UIC
240,Andy Sigiscar,1.162,-0.2132,0.9488,Tarleton State
241,Andy Stefonowicz,-0.1057,2.5653,2.4596,North Dakota State
242,Angelo Brizzi,-2.9858,3.6651,0.6793,Buffalo
243,Angelo Ciaravino,0.9801,3.671,4.6511,Northwestern
244,Angelo Winkel,-0.1097,-0.1233,-0.233,Eastern Wash.
245,Anias Futrell,-0.8372,3.6509,2.8137,Lindenwood
246,Annor Boateng,-0.3882,-1.3269,-1.7151,Missouri
247,Anouar Mellouk,-3.5996,1.7817,-1.8179,Morehead State
248,Anquan Hill,-2.982,1.9983,-0.9838,Sacred Heart
249,Anson Beard,-0.1439,-0.1833,-0.3272,Wake Forest
250,Ante Beljan,0.3491,-0.2391,0.11,UIC
251,Anthon McDermott,0.2954,-0.2119,0.0835,Texas
252,Anthony Arrington,-1.085,-4.1666,-5.2516,Mount St. Mary's
253,Anthony Benard,-3.8742,-1.4324,-5.3066,Canisius
254,Anthony Dell'Orso,0.622,3.8253,4.4473,Arizona
255,Anthony Doppler,-1.0404,-1.278,-2.3184,North Dakota
256,Anthony Enoh,-1.6015,-1.1486,-2.75,Georgia State
257,Anthony Finkley,-1.3106,-1.0664,-2.3769,Saint Joseph's
258,Anthony Isaac,-4.3308,2.6576,-1.6732,Manhattan
259,Anthony Johnson,-0.1127,3.6823,3.5696,Arizona State
260,Anthony Martinez,-0.6255,-2.3948,-3.0203,Monmouth
261,Anthony Nimani,-2.1829,2.2049,0.0221,Cornell
262,Anthony Peoples,0.0346,-0.3581,-0.3235,UCLA
263,Anthony Rise,-0.1879,-0.5101,-0.6981,Iowa State
264,Anthony Robinson,1.2166,-0.0452,1.1713,Xavier
265,Anthony Robinson,1.2166,-0.0452,1.1713,Missouri
266,Anthony Roy,-1.7635,7.1668,5.4033,Oklahoma State
267,Anthony Smith lll,-3.0593,2.0115,-1.0478,North Dakota
268,Anthony Wrzeszcz,-3.5891,0.2528,-3.3363,New Mexico State
269,Antoine Lorick,-2.5,1.4423,-1.0578,Tennessee State
270,Anton Bonke,-0.8372,5.0081,4.1709,Charlotte
271,Anton Strelnikov,-0.0265,0.8899,0.8634,Dartmouth
272,Antoni Siewruk,-0.3417,0.1868,-0.1548,New Hampshire
273,Antoni Vlogianitis,-0.4709,-0.8305,-1.3014,Marist
274,Antonio Chandler,-0.8915,2.996,2.1045,Siena
275,Antonio Chol,-2.9714,4.2952,1.3237,New Mexico
276,Antonio Dorn,-0.4045,0.9473,0.5428,Virginia Tech
277,Antwan Burnett,0.828,-1.3468,-0.5187,Missouri State
278,Antwan Wilson,-3.5476,-1.808,-5.3556,Rider
279,Antwann Jones,-0.1111,-1.2328,-1.3439,UNC Greensboro
280,Antwaun Massey,-2.1627,-1.7392,-3.9019,Western Ill.
281,Antwone Woolfolk,1.054,2.8857,3.9397,Miami (OH)
282,Apostolos Roumoglou,1.6046,-0.0244,1.5802,Richmond
283,ArDarius Grayson,-0.4636,0.9225,0.4589,Weber State
284,Aram Soqui Urbano,-1.5277,-0.8671,-2.3948,Fresno St.
285,Arden Conyers,-2.5379,2.6065,0.0686,Charlotte
286,Ari Fulton,-3.7769,2.0054,-1.7715,NJIT
287,Ari Gooch,1.852,-0.3002,1.5518,UAB
288,Ariik Mawien,-0.1832,0.1524,-0.0308,Northern Colo.
289,Arlan Masharaliyev,-0.0769,-0.0966,-0.1735,La Salle
290,Arlandus Keyes,-0.2007,2.5267,2.326,Mount St. Mary's
291,Arman Madi,-0.5088,1.3626,0.8538,Sacramento St.
292,Armani Mighty,-0.8602,6.0853,5.2251,Mercer
293,Armelo Boone,-0.3771,1.7332,1.3561,Western Ky.
294,Armoni Zeigler,-1.9555,1.6419,-0.3137,Ball State
295,Arnas Sakenis,2.3931,2.3947,4.7879,SIUE
296,Arne Osojnik,-2.7305,0.1986,-2.5319,Northern Ariz.
297,Arop Arop,-0.3383,-0.8078,-1.1461,Memphis
298,Arrinten Page,1.0716,3.6776,4.7493,Northwestern
299,Aryan Arora,-0.0097,0.4616,0.4519,Manhattan
300,Asa Thomas,-1.7791,3.5239,1.7448,Furman
301,Asher Woods,-2.4856,0.3373,-2.1483,Tulane
302,Ashley Sims,-3.9563,-0.6979,-4.6543,Bryant
303,Ashton Hardaway,0.2205,0.177,0.3975,Memphis
304,Ashton Simmons,-1.0152,-0.2682,-1.2834,TCU
305,Ashton Smith,-0.8792,-0.5446,-1.4238,South Dakota
306,Ashton Walker,-0.0345,1.8887,1.8542,La Salle
307,Ashton Williamson,0.8119,-0.8509,-0.039,FIU
308,Asier Miguel Torrero,-0.9242,-0.1052,-1.0295,Manhattan
309,Asim Jones,-3.13,0.5962,-2.5338,Quinnipiac
310,Assane Diop,-1.6523,0.4327,-1.2196,San Diego
311,Assane Mandian,1.0661,-0.2955,0.7706,UNC Greensboro
312,Assane Mbaye,-0.2552,-0.3022,-0.5574,Seton Hall
313,Augustinas Kiudulas,0.3715,2.2113,2.5828,Colorado State
314,Augustine Ekwe,0.3728,0.7611,1.1339,New Mexico State
315,Augusto Cassia,1.8207,1.4971,3.3178,Ole Miss
316,Augustus Gerhart,-2.8302,0.8066,-2.0236,Penn
317,Austin Cross,-0.9106,-1.342,-2.2526,Troy
318,Austin Goode,-3.2759,1.3492,-1.9267,Cal Poly
319,Austin Herro,3.5272,2.2377,5.7648,St. Thomas (MN)
320,Austin Hunt,-0.1814,0.7542,0.5728,Harvard
321,Austin Maurer,3.003,1.5032,4.5061,Seattle U
322,Austin Montgomery,-0.3508,-0.1396,-0.4904,Georgetown
323,Austin Nunez,-3.9979,-2.4438,-6.4417,UTSA
324,Austin Parks,-0.2246,2.3936,2.1691,Toledo
325,Austin Rapp,0.8796,4.8363,5.7159,Wisconsin
326,Austin Swartz,-1.9471,3.7379,1.7908,Creighton
327,Austin Villarreal,0.3125,0.0062,0.3187,Milwaukee
328,Austin Williford,0.9304,1.8533,2.7837,Saint Joseph's
329,Avery Brown,-0.6298,-1.4838,-2.1136,Columbia
330,Avery Thomas,0.4889,2.0362,2.5252,Louisiana Tech
