,player,DRAPM,ORAPM,Total_RAPM,team
463,Annaliese Griffin,0.482,2.4597,2.9417,Arkansas State
464,Anne Adewumi,-0.0781,-0.4068,-0.4848,UMBC
465,Anne Bair,0.5194,-0.6961,-0.1767,Manhattan
466,Anne Simon,1.93,3.3917,5.3217,Maine
467,Anne-Hamilton Leroy,-1.3133,-3.3189,-4.6322,Longwood
468,Annemarie Batista,-1.156,-0.6211,-1.777,Little Rock
469,Annie Rauch,1.7123,2.0487,3.761,Ball State
470,Annie Welde,-0.2388,0.0767,-0.1622,Villanova
471,Annika Corcoran,0.2201,0.6467,0.8668,Detroit Mercy
472,Annika Shah,-0.4908,0.5921,0.1012,Cal Poly
473,Annika Stewart,-0.6072,0.1323,-0.4749,Nebraska
474,Annukka Willstedt,2.9616,-0.1566,2.805,A&M-Corpus Christi
475,Annyka Hellendrung,0.1896,0.8455,1.0351,Oral Roberts
476,Antoinette Okoh,-0.0401,0.1511,0.1109,Merrimack
477,Antonia Bates,1.2268,0.8648,2.0916,Rutgers
478,Antonia Panayides,-0.1286,-1.1744,-1.303,Monmouth
479,Antoniette Emma-Nnopu,0.2959,0.7077,1.0036,UNC Greensboro
480,Antwainette Walker,-0.6861,1.6684,0.9823,Eastern Ky.
481,Anya Choice,0.1007,0.3163,0.4171,UC Santa Barbara
482,Anya McKenzie,-0.0413,0.5247,0.4833,Tarleton State
483,Anya Poole,0.5168,1.3864,1.9031,North Carolina
484,Anyssa Jones,0.6132,0.5747,1.1879,Dayton
485,Anyssia Gibbs,0.3586,-1.7902,-1.4316,Morgan State
486,Aoibhe Gormley,-0.1679,0.2812,0.1133,Boston U.
487,April Hooks,-0.4204,-0.5855,-1.0059,Alabama State
488,Ar'Mani Reid,-0.1594,-1.3083,-1.4677,Winthrop
489,Arantxa Portalez,0.7846,-0.1178,0.6668,Delaware
490,Arene Iyekekpolor,0.4691,-2.8296,-2.3606,Alcorn
491,Areyanna Hunter,1.1017,1.6844,2.786,Jackson State
492,Ari Dyson,0.3587,0.5475,0.9062,Mercer
493,Ari Long,3.7242,-0.1091,3.6151,Washington
494,Ari Wiggins,1.4812,1.7296,3.2108,Butler
495,Aria Myers,1.1017,-1.1278,-0.026,NJIT
496,Ariadna Termis,-0.8611,0.9788,0.1177,Georgia Tech
497,Ariana Dyson,-0.3358,-0.4369,-0.7727,Mercer
498,Ariana Seawell,0.5693,1.9985,2.5677,UMES
499,Ariana Simmons,-1.2512,-1.6153,-2.8665,Alabama State
500,Ariana Vanderhoop,0.968,2.0661,3.0342,Monmouth
501,Ariana Webb,-0.0603,0.1675,0.1073,Northeastern
502,Ariana Wilkes,2.0832,-3.4217,-1.3384,Hampton
503,Arianna Jackson,0.8591,3.0207,3.8798,Iowa State
504,Arianna Johnson,-1.3506,-2.7719,-4.1225,Delaware State
505,Arianna Mosley,0.0375,0.6646,0.7021,Grambling
506,Arianna Patton,1.5537,-1.1605,0.3932,Southeastern La.
507,Arianna Smith,-0.6286,-0.449,-1.0775,Dayton
508,Arianna Sturdivant,-0.2788,0.1018,-0.177,UTRGV
509,Ariel Jenkins,0.4005,-0.8903,-0.4898,Georgetown
510,Arielle Wisne,0.3331,0.3091,0.6422,Indiana
511,Arielle-Vadrelle Belinga,-1.1269,-0.9487,-2.0757,Coastal Carolina
512,Arin Freeman,-0.8341,0.4927,-0.3415,Coastal Carolina
513,Arina Nikishina,-1.4803,-1.8467,-3.327,CSUN
