,player,DRAPM,ORAPM,Total_RAPM,team
327,Amber Tretter,-0.7309,2.5137,1.7829,Miami (OH)
328,Amberly Brown,-2.8552,-2.8136,-5.6688,Mississippi Val.
329,Amelia Osgood,-1.2074,0.4831,-0.7243,Princeton
330,Amelia Raidaveta,-2.6064,-0.7259,-3.3322,Weber State
331,Amelia Sandie,0.0446,0.0706,0.1152,Nicholls
332,Amelia Scharpf,-1.6975,1.0362,-0.6613,UC Irvine
333,Amelia Strong,-1.8803,-0.57,-2.4503,Niagara
334,Amelia Wood,-1.4708,0.6111,-0.8597,Sacred Heart
335,Amellia Bromenschenkel,-0.8568,4.7972,3.9404,Purdue Fort Wayne
336,Amhyia Moreland,-0.7729,3.7667,2.9938,San Jose State
337,Amiah Simmons,-2.0645,4.3606,2.2962,Alabama A&M
338,Amiaya Morgan,-1.2626,-0.3946,-1.6573,UMES
339,Amina Gray,-2.4773,-0.9237,-3.4009,Gardner-Webb
340,Amina Muhammad,0.4744,4.7509,5.2253,Texas
341,Aminata Diakite,-3.0092,-1.6395,-4.6486,Towson
342,Aminata Hernandez,0.0049,-0.1184,-0.1135,Loyola Maryland
343,Aminata Ly,1.1223,1.5208,2.6431,Fordham
344,Aminata Zie,-0.5654,-0.4055,-0.971,Minnesota
345,Amira Brown,-1.1595,-0.8573,-2.0169,Tulsa
346,Amira Mabry,-2.9307,3.4062,0.4755,Tulane
347,Amira Ofunniyin,-1.918,-0.5213,-2.4392,UMES
348,Amira Williams,1.5395,0.553,2.0926,James Madison
349,Amirah Abdur-Rahim,1.3525,3.4091,4.7616,SMU
350,Amirah Allen,-0.4541,-0.8724,-1.3264,Howard
351,Amiya Carroll,-0.2461,-1.319,-1.5651,Monmouth
352,Amiya Evans,-0.9329,-1.478,-2.4109,Georgia
353,Amiya Hopkins,-0.361,-0.3008,-0.6618,Brown
354,Amiya Jenkins,-1.3217,0.4941,-0.8276,Kentucky
355,Amiya Joyner,0.8328,4.914,5.7468,East Carolina
356,Amiyah Buchanan,-2.1483,-2.4624,-4.6107,Southeast Mo. St.
357,Amiyah Ferguson,-4.7273,-3.4183,-8.1456,CSUN
358,Amiyah Lloyd,-0.0258,-0.2588,-0.2846,Florida A&M
359,Amoni Byrd,-1.666,-2.7641,-4.4302,Ga. Southern
360,Amor Harris,-1.0295,-0.1105,-1.1399,Longwood
361,Amourie Porter,-1.9648,1.2961,-0.6687,CSU Bakersfield
362,Amy Cotton,-0.438,-0.0522,-0.4902,Houston Christian
363,Amy O'Hara,-0.0777,0.9039,0.8261,George Mason
