,player,DRAPM,ORAPM,Total_RAPM,team
290,Anthony Nimani,0.3163,0.7209,1.0372,Cornell
291,Anthony Peoples,1.3976,0.7261,2.1236,N.C. Central
292,Anthony Pritchard,0.3116,-0.1845,0.1271,Central Mich.
293,Anthony Robinson,2.8044,4.4645,7.269,Virginia
294,Anthony Robinson,2.8044,4.4645,7.269,Missouri
295,Anthony Roy,-0.3468,1.1659,0.8192,Green Bay
296,Anthony Selden,-0.9565,0.4461,-0.5104,Gardner-Webb
297,Anthony Sellars,-0.0273,-0.0629,-0.0903,Ark.-Pine Bluff
298,Antoine Lorick,0.5435,1.204,1.7475,Tennessee State
299,Anton Bonke,-1.1971,-0.3126,-1.5097,Providence
300,Anton Brookshire,-0.1588,-1.934,-2.0929,Austin Peay
301,Antoni Siewruk,-0.1728,-0.1097,-0.2825,New Hampshire
302,Antoni Vlogianitis,0.0941,0.0425,0.1365,Marist
303,"Antonio ""TJ"" Madlock",0.5522,0.3481,0.9003,Alabama State
304,Antonio Lisenbee,-1.5867,0.2839,-1.3028,Alcorn
305,Antonio Sisk,-1.211,-3.6241,-4.8351,Mississippi Val.
306,Antwan Burnett,2.5222,0.1493,2.6714,Grambling
307,Antwan Robinson,-0.7625,-3.1641,-3.9266,Cal St. Fullerton
308,Antwann Jones,-0.1677,0.1865,0.0188,Bethune-Cookman
309,Antwaun Massey,-0.3948,-0.981,-1.3759,Southern Ill.
310,Antwone Woolfolk,2.6059,-0.0787,2.5272,Miami (OH)
311,Antwonne Holmes,-0.1793,-0.4793,-0.6585,UTEP
312,Anwar Gill,-0.6572,0.8308,0.1736,Howard
313,Apostolos Roumoglou,0.0389,-0.1063,-0.0675,Richmond
314,Aquan Smart,0.5016,0.9285,1.43,N.C. Central
315,Arden Conyers,-0.2074,-1.5606,-1.768,South Carolina
316,Ari Fulton,-0.481,-0.0345,-0.5154,NJIT
317,Ari Seals,0.1844,-0.3664,-0.182,Tulsa
318,Aric Demings,-0.2221,-1.5012,-1.7233,Monmouth
319,Ariel Bland,0.1668,-0.7904,-0.6236,UC Santa Barbara
320,Arlandus Keyes,2.2964,0.2258,2.5222,Mount St. Mary's
