,player,DRAPM,ORAPM,Total_RAPM
172,Aidan Burke,2.3454,4.3458,6.6911
173,Aidan Cammann,2.5526,3.9397,6.4923
174,Aidan Carpenter,2.212,3.265,5.477
175,Aidan Crotty,-0.136,-0.426,-0.562
176,Aidan Driggers,1.6413,0.935,2.5763
177,Aidan Hadaway,4.1277,3.4541,7.5817
178,Aidan Harris,1.4322,1.5638,2.9961
179,Aidan Haskins,2.5663,-0.1575,2.4088
180,Aidan Igiehon,-0.1888,-2.2915,-2.4803
181,Aidan Kehoe,1.0515,-2.3493,-1.2978
182,Aidan Konop,-0.4836,-0.0063,-0.49
183,Aidan Mahaney,-0.0165,2.0045,1.988
184,Aidan McCool,-0.0819,-1.8643,-1.9462
185,Aidan Mckeon,0.3827,-0.9876,-0.605
186,Aidan Noyes,0.186,3.478,3.664
187,Aidan Prukop,0.2636,0.527,0.7906
188,Aidan Reichert,0.1904,3.4527,3.6431
189,Aidan Richard,1.0901,-0.8718,0.2183
190,Aidan Rubio,-1.2056,-1.5819,-2.7875
191,Aidan Sevilla,0.0458,0.7771,0.823
192,Aidan Shaw,1.1031,1.8361,2.9392
193,Aidan Skradis,0.5174,0.0094,0.5268
194,Aiden Argabright,2.6757,2.3275,5.0031
195,Aiden Goins,2.9825,-2.1495,0.833
196,Aiden Miller,-1.6932,1.9163,0.2231
197,Aiden Sherrell,3.4243,5.9228,9.3471
198,Aiden Terry,0.5458,0.1611,0.7068
199,Aiden Tobiason,-1.7383,4.2128,2.4746
200,Aime Rutayisire,-0.1361,0.8218,0.6857
201,Airion Simmons,5.2969,-1.0482,4.2487
202,Aitor Anabitarte,2.2421,1.3884,3.6305
203,Ajay Holubar,-0.088,1.8867,1.7987
204,Ajay Mitchell,4.4464,3.4768,7.9232
205,Ajay Sheldon,0.3549,2.7531,3.108
206,Ajay Tew,0.3273,1.1564,1.4837
207,Akai Fleming,1.1471,2.2287,3.3758
208,Akil Watson,-0.4303,-1.9758,-2.4061
209,Akili Evans,0.4977,-2.4775,-1.9798
210,Akili Vining,-0.0423,1.8381,1.7958
211,Akintola Akinniyi,0.0743,0.1133,0.1875
212,Akira Jacobs,0.4857,1.6585,2.1441
213,Akiva McBirney-Griffin,2.2928,-2.9235,-0.6306
214,Akok Akok,0.6101,-1.5361,-0.926
215,Akol Mawein,0.3585,-0.0933,0.2651
216,Akrum Ahemed,6.2517,-0.2221,6.0296
217,Akuel Kot,0.8897,1.4864,2.3762
218,Al Amadou,-0.7734,-1.8223,-2.5957
219,Al Green,-2.2437,3.0846,0.8409
220,Al-Amir Dawes,-1.5947,3.3982,1.8035
