,player,DRAPM,ORAPM,Total_RAPM
158,Ahjany Lee,-1.1786,-0.1028,-1.2815
159,Ahmad Hamilton,-0.781,-0.9365,-1.7175
160,Ahmad Henderson,-3.5787,3.2658,-0.3128
161,Ahmad Nowell,-0.8348,2.7934,1.9586
162,Ahmad Robinson,-0.4394,3.5412,3.1019
163,Ahmard Harvey,0.0711,-0.1184,-0.0473
164,Ahmed Barba-Bey,-2.9669,0.5846,-2.3822
165,Ahmed Essahaty,-3.4034,-1.9469,-5.3503
166,Ahmet Jonovic,0.3142,1.3205,1.6348
167,Ahmir Langlais,-0.5785,-2.11,-2.6885
168,Ahren Freeman,-0.8924,0.1679,-0.7245
169,Ahron Ulis,-0.3942,-1.6801,-2.0742
170,Aidan Alexander,-0.2849,-0.6762,-0.9611
171,Aidan Braccia,-0.5788,-1.6685,-2.2473
172,Aidan Burke,-0.5675,4.7282,4.1607
173,Aidan Cammann,1.069,3.2919,4.3609
174,Aidan Carpenter,-2.1642,2.549,0.3848
175,Aidan Crotty,-0.3617,-0.3479,-0.7096
176,Aidan Driggers,0.6786,0.27,0.9486
177,Aidan Hadaway,0.4212,5.2193,5.6405
178,Aidan Harris,-0.8532,0.3424,-0.5109
179,Aidan Haskins,-0.2817,0.569,0.2874
180,Aidan Igiehon,-1.5833,-3.3715,-4.9548
181,Aidan Kehoe,-0.707,1.7694,1.0624
182,Aidan Konop,-0.3467,-0.0858,-0.4325
183,Aidan Mahaney,-3.1793,3.7363,0.557
184,Aidan McCool,-0.2213,-1.1341,-1.3553
185,Aidan Mckeon,-0.1634,-0.529,-0.6924
186,Aidan Noyes,-1.6623,3.5311,1.8687
187,Aidan Prukop,-1.3778,-0.2115,-1.5893
188,Aidan Reichert,-3.2575,4.1822,0.9247
189,Aidan Richard,-2.2495,-1.8222,-4.0718
190,Aidan Rubio,-2.3649,-0.2021,-2.567
191,Aidan Sevilla,-0.7561,-0.2327,-0.9888
192,Aidan Shaw,-0.2596,2.0263,1.7666
193,Aidan Skradis,-0.3841,0.1066,-0.2775
194,Aiden Argabright,0.7152,3.0999,3.8151
195,Aiden Goins,0.9835,-0.3565,0.6271
196,Aiden Miller,-3.5007,1.1553,-2.3454
197,Aiden Sherrell,2.1293,7.4107,9.5399
198,Aiden Terry,0.1798,0.0514,0.2312
199,Aiden Tobiason,-3.1756,6.0352,2.8596
200,Aime Rutayisire,-1.5001,0.4765,-1.0236
201,Airion Simmons,2.4552,0.9496,3.4049
202,Aitor Anabitarte,0.4109,1.0539,1.4649
203,Ajay Holubar,-1.3408,1.0073,-0.3334
204,Ajay Mitchell,1.2785,6.2072,7.4857
205,Ajay Sheldon,-1.632,3.2785,1.6465
206,Ajay Tew,-1.2985,-0.0214,-1.3199
207,Akai Fleming,-1.4432,2.0077,0.5645
208,Akil Watson,-0.8945,-1.6533,-2.5477
209,Akili Evans,-0.4309,-2.3789,-2.8098
210,Akili Vining,-1.0813,2.0568,0.9755
211,Akintola Akinniyi,-0.2568,-0.2314,-0.4882
212,Akira Jacobs,-1.6561,2.2641,0.608
213,Akiva McBirney-Griffin,1.238,-3.8425,-2.6046
214,Akok Akok,0.4447,-0.0622,0.3825
215,Akol Mawein,-0.6963,1.2497,0.5533
216,Akrum Ahemed,1.7589,-0.2813,1.4776
217,Akuel Kot,-2.2575,2.5635,0.3061
218,Al Amadou,-1.4067,-1.9531,-3.3598
219,Al Green,-3.4043,4.5052,1.101
220,Al-Amir Dawes,-2.2489,4.9499,2.701
221,Alaaeddine Boutayeb,-0.5175,-1.222,-1.7395
222,Albe Evans,0.1388,-0.9157,-0.7769
223,Albert Vargas,-1.6893,1.0099,-0.6795
224,Alden Applewhite,-3.3167,5.4875,2.1708
225,Alec Blair,-0.0271,0.0032,-0.0239
226,Alec Millender,-2.7786,1.3784,-1.4002
227,Alec Oglesby,-2.3673,3.1529,0.7856
228,Alec Pfriem,0.5308,-1.2638,-0.7331
229,Alec Squires,-0.4604,-0.2206,-0.6811
230,Alec Woodard,-1.5407,-1.2987,-2.8394
231,Alejandro Aviles,1.0489,-1.4396,-0.3907
232,Alejandro Ralat,-0.2413,0.148,-0.0933
233,Alejandro Vasquez,-2.3242,2.3562,0.0321
234,Alek Delev,-0.1259,-0.3224,-0.4484
235,Aleks Alston,-0.9791,-1.8005,-2.7796
236,Aleks Szymczyk,-0.717,-1.6923,-2.4093
237,Aleksa Lekic,-0.1822,-0.1474,-0.3296
238,Aleksa Ristic,-0.9259,-0.4257,-1.3516
239,Aleksa Vlajic,0.0225,0.059,0.0815
240,Aleksandar Gavalyugov,-0.5183,2.6556,2.1373
241,Aleksander Pachucki,-4.813,-1.3695,-6.1825
242,Aleksas Bieliauskas,-0.5628,3.7864,3.2236
243,Aleksej Kostic,-1.275,0.9383,-0.3367
244,Alem Fejzic,-1.0184,-2.224,-3.2424
245,Alem Huseinovic,-1.2392,3.6168,2.3775
246,Alex Anamekwe,-0.5989,-0.6784,-1.2773
247,Alex Anderson,-4.9774,1.1945,-3.7829
248,Alex Andrews,-0.0888,-0.0838,-0.1726
249,Alex Bates,-0.3378,-2.0342,-2.372
250,Alex Bossinakis,-0.1093,0.2595,0.1502
251,Alex Bruskotter,-0.6215,2.0291,1.4075
252,Alex Capitano,-0.0144,-0.2409,-0.2552
253,Alex Chaikin,-1.8363,5.4749,3.6386
254,Alex Condon,4.3708,6.2955,10.6663
255,Alex Cotton,-2.3183,0.1761,-2.1422
256,Alex Crawford,-2.8683,-0.5914,-3.4596
257,Alex Daniels,-0.5674,-0.431,-0.9984
258,Alex Doyle,-4.5294,0.1341,-4.3953
259,Alex Ducas,3.1075,4.5969,7.7045
260,Alex Dupre,-0.5791,-0.842,-1.4211
261,Alex Engro,-1.3107,-4.0602,-5.3709
262,Alex Farley,-0.0343,0.01,-0.0243
263,Alex Garcia,-1.777,-0.3442,-2.1212
264,Alex Hemenway,-2.3879,-0.1086,-2.4966
265,Alex Holt,-0.8511,3.1837,2.3326
266,Alex Horiuk,-2.3796,-4.2867,-6.6663
267,Alex Huguet Carrasco,-0.6357,0.1172,-0.5185
268,Alex Huibregtse,-3.4345,7.6149,4.1804
269,Alex Karaban,1.37,11.9947,13.3647
270,Alex Kazanecki,-3.5608,2.3903,-1.1705
271,Alex Klatsky,-0.516,-0.3838,-0.8998
272,Alex Koch,0.1252,-0.3757,-0.2505
273,Alex Kotov,-0.8333,-4.6317,-5.465
274,Alex Kovatchev,-0.8696,-1.0119,-1.8816
275,Alex Leiba,0.2841,-1.0738,-0.7897
276,Alex Lloyd,-0.5689,-1.3465,-1.9154
277,Alex Massung,-1.0018,0.3466,-0.6551
278,Alex McFadden,-0.89,0.533,-0.357
279,Alex Merkviladze,-0.132,4.3113,4.1793
280,Alex Molofeev,-2.7559,-2.7694,-5.5252
281,Alex Nokes,0.1434,0.1004,0.2438
282,Alex Nunnally,-0.5125,-0.4374,-0.95
283,Alex Odam,0.4379,-1.526,-1.088
284,Alex Olander,-0.0599,-0.176,-0.2359
285,Alex Raiford,-1.6888,0.781,-0.9078
286,Alex Schumacher,0.4094,2.294,2.7034
287,Alex Sobel,0.7282,3.7272,4.4554
288,Alex Steen,-0.9115,4.407,3.4955
289,Alex Tavares,0.0164,-0.2145,-0.1981
290,Alex Tchikou,-0.1253,-0.5454,-0.6706
291,Alex Tew,0.2206,-0.9011,-0.6805
292,Alex Timmerman,0.0466,2.4031,2.4497
293,Alex Tsynkevich,-2.507,-3.482,-5.9891
294,Alex Vertus,0.0051,0.3822,0.3874
295,Alex Wade,0.2228,-1.2252,-1.0024
296,Alex Wilkins,-2.6703,3.4868,0.8165
297,Alex Williams,-3.6501,4.8091,1.1591
298,Alex Woodring,-0.2261,-0.0367,-0.2627
299,Alexander Daushvili,-0.5057,-0.0843,-0.59
300,Alexander Lesburt,0.308,3.7143,4.0223
301,Alexander Nwagha,0.0419,-3.1621,-3.1202
302,Alexander Payne,0.8941,1.0813,1.9753
303,Alexander Richardson,-1.6025,0.3194,-1.2832
304,Alexis Marmolejos,-0.0956,3.3642,3.2686
305,Alexis Reyes,-1.1296,0.5741,-0.5555
306,Alexis Yetna,-1.64,0.5271,-1.1128
307,Alfred Worrell,-3.5603,2.1462,-1.414
308,Alfredo Addesa,-1.6833,-1.2324,-2.9157
309,Alfredo Boglio,0.2629,-3.5334,-3.2705
310,Ali Ali,-0.5943,3.3023,2.708
311,Ali Assran,-1.5174,-1.6001,-3.1175
312,Ali Dibba,-1.5344,5.0601,3.5256
313,Ali Ragab,0.3421,-1.0725,-0.7304
314,Alier Maluk,0.1892,-1.103,-0.9137
315,Alijah Adem,-0.0376,-0.0504,-0.088
316,Alijah Arenas,-0.6299,0.9343,0.3045
317,Alijah Curry,0.0965,-0.4549,-0.3584
318,Alijah Martin,0.843,6.7236,7.5666
319,Alimamy Koroma,-0.7305,-1.1917,-1.9222
320,Aliou Cisse,-1.782,-1.1663,-2.9483
321,All Wright,-2.4364,5.1071,2.6707
322,Allan Jeanne-Rose,-1.1078,3.0111,1.9033
323,Allen Betrand,-3.0811,3.9602,0.8791
324,Allen David Mukeba,0.2566,2.8357,3.0923
325,Allen Flanigan,1.0809,3.715,4.7958
326,Allen Graves,0.234,8.8233,9.0573
327,Allen Mukeba,0.8387,3.2634,4.1021
328,Allen Myers,-0.2167,-0.181,-0.3977
329,Allen Powell,-2.2736,-0.4891,-2.7627
330,Allen Strothers,-0.1042,0.4841,0.3799
331,Allen Udemadu,-1.4857,-3.5124,-4.9981
332,Alliou Fall,3.0505,-2.8235,0.227
333,Almar Atlason,-1.694,2.5781,0.8841
334,Alon Michaeli,-2.4237,2.358,-0.0657
335,Alonso Faure,-1.6277,-1.9046,-3.5323
336,Alonzo Dodd,-1.5204,4.1706,2.6503
337,Alonzo Gaffney,0.8991,1.0498,1.9488
338,Alpha Chibambe,-1.9723,-0.0502,-2.0225
339,Alphonzo Billups,-2.1046,1.7093,-0.3954
340,Alston Andrews,0.6322,-3.7383,-3.1061
341,Alston Mason,-1.0699,5.7256,4.6558
342,Alton Hamilton,-0.7784,4.542,3.7636
343,Alvaro Cardenas,-1.0311,6.6608,5.6296
344,Alvaro Folgueiras,1.6434,6.6802,8.3236
345,Alvin Loving,-0.4019,0.1766,-0.2253
346,Alvin Stredic,-5.2188,-3.756,-8.9748
347,Alvin Tumblin,-0.0143,0.003,-0.0113
348,Always Wright,-1.2865,-1.5122,-2.7987
349,Aly Khalifa,3.018,5.7701,8.7882
350,Aly Tounkara,2.3481,-0.6852,1.6629
351,Alyn Breed,0.8285,-0.1348,0.6937
352,Ama Sow,-0.3911,-0.0719,-0.463
353,Amaan Sandhu,0.0131,-0.8149,-0.8018
354,Amadou Doumbia,0.5762,-0.4247,0.1515
355,Amael L'Etang,1.657,3.3992,5.0563
356,Amahrie Simpkins,-1.3043,1.7867,0.4824
357,Amani Drummond,-1.0474,-1.4824,-2.5298
358,Amani Hansberry,2.0853,8.9159,11.0012
359,Amani Lyles,-0.0427,5.0765,5.0339
360,Amanze Ngumezi,0.1371,-3.0674,-2.9303
361,Amar Amkou,-1.5478,4.0303,2.4825
362,Amar Augillard,-3.6228,1.3024,-2.3204
363,Amar Kuljuhovic,-2.1591,4.8835,2.7244
364,Amar'e Marshall,-3.4161,3.8953,0.4793
